docid,left_context,keyword,right_context
1.6.13- side 11,til at uddrive sin,jord,det bevidner de nu
1.6.13- side 53,heele slægt nogen fods,jord,er hoveriet paa nogle
1.6.13- side 69,lade andre besaae hans,jord,at drive fin jord
1.6.13- side 69,jord at drive fin,jord,til upligt ɔ at
1.6.15- side 8,omendskiønt en anseelig mængde,jord,bortgik ved grøfter og
1.6.15- side 9,at den nye inddeelte,jord,ikke kunde komme i
1.6.16- side 14,nogen ting skal denne,jord,anvendes til ploug-jord maae
1.6.16- side 15,fordeel for hvem denne,jord,ikke kan blive til
1.6.16- side 15,fraliggende bonde-byen som denne,jord,hørte til burde ved
1.6.16- side 17,hvor de har taget,jord,ind af forhugget skov
1.6.17- side 4,saaet kun deres egen,jord,end sige tænke paa
1.6.17- side 5,i marken ved hans,jord,men maa nødes til
1.6.17- side 6,ved sin gaard og,jord,som virkelig var og
1.6.17- side 26,sin feedeste og beste,jord,efter lige stor udsæd
1.6.17- side 35,tønder kunde en bondegaards,jord,ikke vel blive inddeelt
1.6.17- side 37,gaard kan dyrke sin,jord,saa vel og holde
1.6.17- side 38,marker havde saa megen,jord,at alle byens gaarder
1.6.17- side 46,dyrke og forbedre sin,jord,eller jordslod i marken
1.6.17- side 53,der hvor den indhegnede,jord,som fra begge sider
1.6.17- side 57,en ager af sin,jord,i marken eller et
1.6.17- side 58,jo dertil have tjenlig,jord,thi da vilde mangen
1.6.17- side 59,huusfolk af sin gaards,jord,faae enten høe og
1.6.17- side 60,eller høste paa bondens,jord,ligesaa er det ikke
1.6.18- side 6,tieneste forpligtede tienere hvis,jord,og i brug havende
1.6.18- side 9,6 heste driver denne,jord,og giør al nødvendig
1.6.19- side 8,et saa anseeligt stykke,jord,som tilstrækkelig kan underholde
1.6.19- side 9,og vist den halve,jord,bleven ubesaaet hvad mangel
1.6.19- side 12,bonde veed hvad stykke,jord,han skal drive saa
1.6.20- side 20,ei selv kiender sin,jord,med mindre han har
1.6.20- side 20,den dyrkede og udyrkede,jord,da seer man at
1.6.20- side 24,siden ud paa eders,jord,det vil nok belønne
